Population and dwelling counts: Canada and population centres 1,,,,,,,,,
Frequency: Occasional,,,,,,,,,
Table: 98-10-0011-01,,,,,,,,,
Release date: 2022-02-09,,,,,,,,,
"Geography: Canada, Province or territory, Population centre, Population centre part",,,,,,,,,
"Universe: All persons, 2021 and 2016 censuses – 100% data",,,,,,,,,
Variable List: Population and dwelling counts (7),,,,,,,,,
,,,,,,,,,
,,Population and dwelling counts (7),"Population, 2021","Population, 2016","Population percentage change, 2016 to 2021","Total private dwellings, 2021","Private dwellings occupied by usual residents, 2021","Land area in square kilometres, 2021","Population density per square kilometre, 2021"
Mount Forest,Small population centre,Ont.,"5,040","4,643",8.6,"2,250","2,174",3.73,"1,352.90"
Munster,Small population centre,Ont.,"1,145",939r,21.9,429,425,0.67,"1,707.70"
Napanee,Small population centre,Ont.,"8,173","7,439",9.9,"3,562","3,424",7.92,"1,032.30"
New Dundee,Small population centre,Ont.,"1,174","1,119",4.9,440,430,1.53,767.4
New Hamburg,Small population centre,Ont.,"14,379","13,595",5.8,"5,399","5,315",15.75,913
New Liskeard,Small population centre,Ont.,"4,232","4,444r",-4.8,"2,023","1,908",7.02,602.9
Nobleton,Small population centre,Ont.,"6,507","4,924r",32.1,"1,919","1,889",8.58,758
North Bay,Medium population centre,Ont.,"51,433","50,396",2.1,"24,491","23,008",64.91,792.4
Norwich,Small population centre,Ont.,"3,038","2,852",6.5,"1,195","1,158",2.69,"1,127.30"
Norwood,Small population centre,Ont.,"1,585","1,380",14.9,620,601,1.99,794.8
Omemee,Small population centre,Ont.,"1,060","1,271",-16.6,451,431,2.12,499.8
Orangeville,Medium population centre,Ont.,"34,177","32,318r",5.8,"12,520","12,259",19.77,"1,728.90"
Orillia,Medium population centre,Ont.,"33,379","31,128",7.2,"15,416","14,410",22.68,"1,471.70"
Oro Station - Hawkestone,Small population centre,Ont.,"1,806","1,691",6.8,806,710,2.22,813.3
Orono,Small population centre,Ont.,"1,104","1,105",-0.1,437,428,1.36,814.2
Osgoode,Small population centre,Ont.,"2,535","2,578",-1.7,949,935,2.97,852.2
Oshawa,Large urban population centre,Ont.,"335,949","309,759r",8.5,"124,322","120,661",159.79,"2,102.40"
Ottawa - Gatineau,Large urban population centre,Ont. / Que.,"1,068,821","994,576r",7.5,"470,979","446,411",549.49,"1,945.10"
Ottawa - Gatineau (Ontario part),Large urban population centre,Ont.,"797,252","737,702r",8.1,"346,772","328,727",357.18,"2,232.10"
Ottawa - Gatineau (Quebec part),Large urban population centre,Que.,"271,569","256,874r",5.7,"124,207","117,684",192.31,"1,412.10"
Owen Sound,Small population centre,Ont.,"22,318","22,032",1.3,"10,647","10,133",20.86,"1,069.60"
Paisley,Small population centre,Ont.,"1,061","1,045",1.5,526,489,1.8,590.5
Palgrave,Small population centre,Ont.,"1,107","1,044",6,428,416,1.84,602.6
Palmerston,Small population centre,Ont.,"2,989","2,624",13.9,"1,220","1,184",2.54,"1,177.30"
Paris,Small population centre,Ont.,"14,956","12,389r",20.7,"5,838","5,657",13.55,"1,103.60"
Parkhill,Small population centre,Ont.,"1,707","1,737",-1.7,732,692,2.45,696.4
Parry Sound,Small population centre,Ont.,"6,788","6,321",7.4,"3,468","3,160",7.95,853.4
Pembroke,Small population centre,Ont.,"16,571","16,203r",2.3,"7,848","7,463",17.47,948.5
Perth,Small population centre,Ont.,"6,486","6,042r",7.3,"3,281","3,163",9.39,690.4
Petawawa,Small population centre,Ont.,"14,382","13,870r",3.7,"5,593","5,292",16.01,898.4
Peterborough,Medium population centre,Ont.,"84,793","82,149r",3.2,"38,472","36,429",54.58,"1,553.70"
Petrolia,Small population centre,Ont.,"5,632","5,402r",4.3,"2,372","2,313",6.29,895.9
Picton,Small population centre,Ont.,"4,508","4,395r",2.6,"2,567","2,277",5.43,830.4
Plattsville,Small population centre,Ont.,"1,520","1,366",11.3,546,539,1.37,"1,106.40"
Porcupine,Small population centre,Ont.,"5,832","5,811r",0.4,"2,620","2,467",5.78,"1,009.30"
Port Colborne,Small population centre,Ont.,"15,441","14,800r",4.3,"7,085","6,835",13.29,"1,161.60"
Port Dover,Small population centre,Ont.,"7,871","6,984r",12.7,"4,028","3,696",8.12,969.4
Port Elgin,Small population centre,Ont.,"9,619","8,297r",15.9,"4,540","4,047",8.03,"1,197.70"
Port Hope,Small population centre,Ont.,"13,012","12,587",3.4,"5,901","5,692",12.72,"1,023.10"
Port Perry,Small population centre,Ont.,"9,553","9,453",1.1,"3,855","3,741",8.76,"1,090.20"
Port Rowan,Small population centre,Ont.,"1,357","1,354r",0.2,739,707,3.17,428.3
Port Stanley,Small population centre,Ont.,"3,008","2,231r",34.8,"1,702","1,409",3.78,796.1
Powassan,Small population centre,Ont.,"1,241","1,343",-7.6,509,483,1.68,739.2
Prescott,Small population centre,Ont.,"4,078","4,217r",-3.3,"1,992","1,888",4.02,"1,015.10"
Red Lake,Small population centre,Ont.,"1,263","1,182r",6.9,610,566,1.54,819.2
Renfrew,Small population centre,Ont.,"8,337","8,308r",0.3,"4,188","4,012",12.14,686.6
Richmond,Small population centre,Ont.,"4,228","4,055",4.3,"1,586","1,564",4.1,"1,031.80"
Ridgetown,Small population centre,Ont.,"2,797","3,002",-6.8,"1,371","1,293",2.73,"1,026.10"
Rockland,Small population centre,Ont.,"13,625","12,399r",9.9,"5,477","5,368",8.15,"1,671.10"
Rockwood,Small population centre,Ont.,"5,488","4,629",18.6,"2,044","1,970",5.92,926.5
Russell,Small population centre,Ont.,"6,135","5,039r",21.8,"2,301","2,275",4.56,"1,344.50"
Sandy Lake 88,Small population centre,Ont.,"1,601",49r,"3,167.30",426,376,1.35,"1,184.40"
Sarnia,Medium population centre,Ont.,"73,944","73,403r",0.7,"34,738","32,893",60.53,"1,221.50"
Sault Ste. Marie,Medium population centre,Ont.,"64,923","66,313",-2.1,"31,864","29,743",52.97,"1,225.80"
Schomberg,Small population centre,Ont.,"2,656","2,691",-1.3,"1,059","1,030",2.39,"1,111.80"
Seaforth,Small population centre,Ont.,"2,673","2,680",-0.3,"1,248","1,202",2.79,957.9
Shelburne,Small population centre,Ont.,"8,989","8,126",10.6,"3,147","3,023",5.71,"1,574.60"
Simcoe,Small population centre,Ont.,"16,121","14,649r",10,"7,406","7,118",16.5,977
Sioux Lookout,Small population centre,Ont.,"3,781","2,941",28.6,"1,724","1,554",6.32,598.2
Smiths Falls,Small population centre,Ont.,"9,517","9,068r",5,"4,629","4,411",6.71,"1,418.90"
Smithville,Small population centre,Ont.,"6,456","5,724r",12.8,"2,378","2,339",6.11,"1,056.20"
Southampton,Small population centre,Ont.,"3,993","3,678",8.6,"2,588","1,888",6.43,620.7
St. Catharines - Niagara Falls,Large urban population centre,Ont.,"242,460","229,776r",5.5,"106,697","101,120",140.59,"1,724.50"
St. Clements,Small population centre,Ont.,"1,240",820r,51.2,463,456,1.51,821.1
St. George,Small population centre,Ont.,"3,354","3,255",3,"1,262","1,246",2.97,"1,130.80"
St. Jacobs,Small population centre,Ont.,"1,959","1,988",-1.5,740,727,2.81,697.5
St. Marys,Small population centre,Ont.,"7,271","7,137r",1.9,"3,158","3,072",10.09,720.4
St. Thomas,Medium population centre,Ont.,"45,732","41,834r",9.3,"19,671","19,123",28.1,"1,627.20"
Stayner,Small population centre,Ont.,"4,699","4,258r",10.4,"1,864","1,806",4.83,973.2
Stevensville,Small population centre,Ont.,"1,316","1,179",11.6,546,512,2.52,522.3
Stirling,Small population centre,Ont.,"2,074","2,030",2.2,863,832,3.03,684
Stoney Point,Small population centre,Ont.,"1,394","1,318r",5.8,622,558,2.46,567.6
Stouffville,Medium population centre,Ont.,"36,753","32,634",12.6,"12,078","11,875",14.17,"2,593.60"
Stratford,Medium population centre,Ont.,"32,878","31,094r",5.7,"15,237","14,599",23.3,"1,411.20"
Strathroy,Small population centre,Ont.,"16,056","14,505r",10.7,"6,713","6,553",15.3,"1,049.60"
Sturgeon Falls,Small population centre,Ont.,"6,939","6,916r",0.3,"3,336","3,197",6.15,"1,128.70"
Sudbury,Medium population centre,Ont.,"92,093","88,155r",4.5,"44,970","41,857",75.79,"1,215.10"
Sunderland,Small population centre,Ont.,"1,490","1,243",19.9,561,537,1.13,"1,318.10"
Sutton,Small population centre,Ont.,"8,477","7,653r",10.8,"3,746","3,379",12.55,675.6
Tavistock,Small population centre,Ont.,"3,171","2,955",7.3,"1,288","1,256",2.64,"1,200.80"
Tay,Small population centre,Ont.,"6,188","5,474r",13,"2,767","2,499",8.64,716.3
Thamesford,Small population centre,Ont.,"2,622","2,116",23.9,953,939,2.76,949.6
Thessalon,Small population centre,Ont.,"1,147","1,175",-2.4,546,509,1.88,611
Thornbury,Small population centre,Ont.,"3,474","2,873r",20.9,"2,121","1,638",5.87,592.2
Thornton,Small population centre,Ont.,"1,046","1,017r",2.9,363,358,1.11,946.5
Thunder Bay,Medium population centre,Ont.,"95,266","94,767r",0.5,"45,751","43,291",76.03,"1,253.00"
Tilbury,Small population centre,Ont.,"4,687","4,768",-1.7,"1,948","1,901",4.14,"1,131.10"
Tillsonburg,Small population centre,Ont.,"18,573","15,834r",17.3,"8,479","8,215",18.97,979.2
Timmins,Small population centre,Ont.,"28,874","29,331",-1.6,"13,801","12,757",18.49,"1,561.30"
Tiny Beaches North,Small population centre,Ont.,"1,065",922r,15.5,850,490,2.28,466.8
Toronto,Large urban population centre,Ont.,"5,647,656","5,433,590r",3.9,"2,201,935","2,077,579","1,829.05","3,087.70"
Tottenham,Small population centre,Ont.,"9,609","5,422r",77.2,"3,334","3,264",9.93,968
Tweed,Small population centre,Ont.,"1,541","1,701",-9.4,779,690,2.5,617.3
Uxbridge,Small population centre,Ont.,"11,794","11,832",-0.3,"4,651","4,528",15.46,762.7
Valley East,Small population centre,Ont.,"17,251","17,451",-1.1,"6,673","6,536",25.82,668.1
Vankleek Hill,Small population centre,Ont.,"1,781","1,742",2.2,896,855,2.23,797.9
Vineland,Small population centre,Ont.,"4,395","4,260r",3.2,"1,857","1,820",5.8,757.7
Virgil,Small population centre,Ont.,"3,008","2,937",2.4,"1,295","1,235",2.41,"1,245.80"
Walkerton,Small population centre,Ont.,"4,724","4,537r",4.1,"2,149","1,984",3.9,"1,210.80"
Wallaceburg,Small population centre,Ont.,"10,323","10,098",2.2,"4,759","4,556",8.84,"1,167.40"
Wasaga Beach,Small population centre,Ont.,"22,194","18,653r",19,"12,134","9,518",28.21,786.8
Waterford,Small population centre,Ont.,"4,227","3,676r",15,"1,823","1,768",3.51,"1,203.20"
Watford,Small population centre,Ont.,"1,563","1,536",1.8,648,613,1.17,"1,337.40"
Wawa,Small population centre,Ont.,"2,431","2,610",-6.9,"1,207","1,097",1.76,"1,380.10"
Welland - Pelham,Medium population centre,Ont.,"69,302","63,011r",10,"29,874","28,828",57.21,"1,211.40"
Wellesley,Small population centre,Ont.,"3,536","3,246",8.9,"1,222","1,206",1.67,"2,114.60"
Wellington,Small population centre,Ont.,"1,526","1,353r",12.8,955,819,3.3,462.6
Wendover,Small population centre,Ont.,"2,176","1,785",21.9,879,858,3.58,608
West Lorne,Small population centre,Ont.,"1,385","1,337",3.6,624,590,1.81,763.3
Wheatley,Small population centre,Ont.,"3,060","2,868",6.7,"1,032",996,3.4,898.8
Wiarton,Small population centre,Ont.,"1,996","1,989",0.4,"1,058",978,2.36,847.4
Wikwemikong,Small population centre,Ont.,"1,417","1,567r",-9.6,556,522,3.44,411.6
Winchester,Small population centre,Ont.,"2,417","2,394",1,"1,108","1,075",2.26,"1,068.30"
Windsor,Large urban population centre,Ont.,"306,519","288,363r",6.3,"127,879","121,732",184.96,"1,657.20"
Wingham,Small population centre,Ont.,"2,981","2,934",1.6,"1,408","1,338",2.47,"1,206.50"
Woodstock,Medium population centre,Ont.,"46,296","40,614r",14,"19,384","18,747",34.41,"1,345.60"
Wyoming,Small population centre,Ont.,"2,348","2,361",-0.6,971,947,4.59,511.8
Manitoba 2,Province,Man.,"1,342,153","1,278,365",5,"571,528","518,054","540,310.19",2.5
Altona,Small population centre,Man.,"4,227","4,177r",1.2,"1,759","1,699",4.8,880.4
Arborg,Small population centre,Man.,"1,279","1,222",4.7,528,497,2,639.6
Beausejour,Small population centre,Man.,"3,123","3,003r",4,"1,475","1,397",3.11,"1,003.10"
Blumenort,Small population centre,Man.,"1,738","1,675",3.8,578,564,3.17,548.2
Boissevain,Small population centre,Man.,"1,567","1,656",-5.4,733,697,2.54,618.1
Brandon,Medium population centre,Man.,"50,532","48,345r",4.5,"22,320","21,003",28.73,"1,759.10"
Carberry,Small population centre,Man.,"1,823","1,748r",4.3,850,797,2.4,759.9
Carman,Small population centre,Man.,"2,970","3,022r",-1.7,"1,395","1,332",2.85,"1,042.10"
Chemawawin 2,Small population centre,Man.,"1,163","1,131r",2.8,356,250,1.51,768
Cross Lake 19,Small population centre,Man.,"1,387","1,252r",10.8,341,297,3.05,455.2
Cross Lake 19A,Small population centre,Man.,"1,826","2,041r",-10.5,435,381,3.3,553.9
Dauphin,Small population centre,Man.,"8,034","8,233r",-2.4,"3,877","3,619",7.95,"1,010.40"
Flin Flon,Small population centre,Man. / Sask.,"4,722","4,810r",-1.8,"2,441","2,180",3.74,"1,262.50"
Flin Flon (Manitoba part),Small population centre,Man.,"4,640","4,667r",-0.6,"2,383","2,142",3.58,"1,295.90"
Flin Flon (Saskatchewan part),Small population centre,Sask.,82,143,-42.7,58,38,0.16,514.1
Gimli,Small population centre,Man.,"2,345","2,251r",4.2,"1,508","1,119",3.02,775.7
Grunthal,Small population centre,Man.,"1,782","1,680",6.1,636,618,2.7,661.2
Ile des Chênes,Small population centre,Man.,"1,572","1,528",2.9,647,624,1.83,858.1
Killarney,Small population centre,Man.,"2,499","2,315r",7.9,"1,134","1,026",3.45,724.4
La Broquerie,Small population centre,Man.,"1,332","1,034r",28.8,502,479,2.98,447
La Salle,Small population centre,Man.,"2,471","1,874r",31.9,784,772,3,823.9
Lac du Bonnet,Small population centre,Man.,"1,064","1,089",-2.3,549,496,2.26,470.7
Landmark,Small population centre,Man.,"1,284","1,237",3.8,458,442,2.22,579.1
Lorette,Small population centre,Man.,"3,230","2,904",11.2,"1,167","1,134",3.15,"1,027.00"
Minnedosa,Small population centre,Man.,"2,407","2,224r",8.2,"1,137","1,063",2.23,"1,079.80"
Mitchell,Small population centre,Man.,"3,136","2,523",24.3,965,940,4.08,768.7
Morden,Small population centre,Man.,"9,103","8,058r",13,"3,871","3,714",8.53,"1,066.90"
Morris,Small population centre,Man.,"1,801","1,714",5.1,786,745,2.26,797.4
Neepawa,Small population centre,Man.,"4,938","3,939",25.4,"1,681","1,615",2.36,"2,094.90"
Nelson House 170,Small population centre,Man.,"1,351","1,675r",-19.3,273,260,2.7,500.4
Niverville,Small population centre,Man.,"5,593","4,363r",28.2,"1,866","1,833",4.23,"1,323.00"
Oak Bluff,Small population centre,Man.,"1,442","1,051",37.2,481,475,2.52,572.3
Oakbank,Small population centre,Man.,"5,041","4,604",9.5,"1,760","1,716",5.39,935.4
Pinawa,Small population centre,Man.,"1,512","1,441r",4.9,755,684,2.14,707
Portage la Prairie,Small population centre,Man.,"12,944","13,013r",-0.5,"5,980","5,518",9.93,"1,303.90"
Roblin,Small population centre,Man.,"1,603","1,614",-0.7,855,774,2.71,590.6
Russell,Small population centre,Man.,"1,622","1,498r",8.3,760,684,1.9,853.1
Selkirk,Small population centre,Man.,"9,761","9,604r",1.6,"4,383","4,180",5.93,"1,646.40"
Shilo CFB-BFC,Small population centre,Man.,"1,362","1,419",-4,640,545,1.25,"1,090.70"
Souris,Small population centre,Man.,"1,935","1,900r",1.8,938,850,2.5,772.6
St-Pierre-Jolys,Small population centre,Man.,"1,305","1,170",11.5,518,508,2.61,500.5
St. Adolphe,Small population centre,Man.,"1,595","1,367r",16.7,582,578,1.74,915.8
St. Andrews,Small population centre,Man.,"1,001","1,026r",-2.4,387,382,2.33,430.1
St. Theresa Point,Small population centre,Man.,"1,083","1,038",4.3,206,191,1.53,705.8
Ste. Anne,Small population centre,Man.,"2,891","2,114",36.8,"1,204","1,151",4.14,699
Steinbach,Small population centre,Man.,"17,589","15,790r",11.4,"7,004","6,751",17.8,988
Stonewall,Small population centre,Man.,"5,046","4,809r",4.9,"2,127","2,051",5.96,846.4
Stony Mountain,Small population centre,Man.,"2,160","1,800",20,507,490,1.99,"1,086.50"
Swan River,Small population centre,Man.,"3,989","3,969r",0.5,"1,994","1,801",5.73,696.1
Teulon,Small population centre,Man.,"1,087","1,095",-0.7,543,501,1.87,580.9
The Pas,Small population centre,Man.,"7,302","6,402r",14.1,"2,784","2,568",8.4,869.4
Thompson,Small population centre,Man.,"12,329","13,037r",-5.4,"5,222","4,472",7.81,"1,578.90"
Virden,Small population centre,Man.,"2,904","3,082",-5.8,"1,413","1,317",2.33,"1,245.50"
Wasagamack,Small population centre,Man.,"1,689",579r,191.7,341,341,3.66,461
Winkler,Small population centre,Man.,"15,335","14,311",7.2,"5,659","5,498",19.02,806.4
Winnipeg,Large urban population centre,Man.,"758,515","712,858r",6.4,"318,706","303,646",356.99,"2,124.70"
Saskatchewan 2,Province,Sask.,"1,132,505","1,098,352",3.1,"513,725","449,581","577,060.40",2
Assiniboia,Small population centre,Sask.,"2,333","2,389",-2.3,"1,235","1,069",2.39,978
Balgonie,Small population centre,Sask.,"1,736","1,745",-0.5,619,612,1.34,"1,298.70"
Battleford,Small population centre,Sask.,"3,651","3,750",-2.6,"1,619","1,513",2.14,"1,705.80"
Biggar,Small population centre,Sask.,"2,045","2,165",-5.5,996,911,1.51,"1,354.30"
Birch Hills,Small population centre,Sask.,"1,066","1,033",3.2,475,450,2.39,446.6
Canora,Small population centre,Sask.,"1,763","1,725r",2.2,948,829,1.66,"1,059.70"
Carlyle,Small population centre,Sask.,"1,519","1,503",1.1,682,618,2.16,703.5
Carnduff,Small population centre,Sask.,"1,125","1,023",10,520,423,0.97,"1,161.40"
Caronport,Small population centre,Sask.,"1,008",984r,2.4,368,323,0.99,"1,014.40"
Dalmeny,Small population centre,Sask.,"1,703","1,769",-3.7,606,594,1.5,"1,137.80"
Davidson,Small population centre,Sask.,"1,039","1,038r",0.1,517,461,1.8,576.7
Delisle,Small population centre,Sask.,"1,024","1,038",-1.3,460,426,1.08,949.6
Esterhazy,Small population centre,Sask.,"2,191","2,367",-7.4,"1,288","1,000",2.47,888
Estevan,Small population centre,Sask.,"10,629","11,316r",-6.1,"5,258","4,493",9.43,"1,127.60"
Foam Lake,Small population centre,Sask.,"1,070","1,022",4.7,525,488,1.41,761.1
Fort Qu'Appelle,Small population centre,Sask.,"1,866","1,920",-2.8,881,802,2.09,892.4
Hudson Bay,Small population centre,Sask.,"1,332","1,368r",-2.6,748,665,1.3,"1,025.50"
Humboldt,Small population centre,Sask.,"5,313","5,194r",2.3,"2,374","2,182",3.48,"1,525.90"
Indian Head,Small population centre,Sask.,"1,819","1,824r",-0.3,862,795,1.73,"1,054.30"
Kamsack,Small population centre,Sask.,"1,659","1,775",-6.5,841,734,1.6,"1,034.90"
Kindersley,Small population centre,Sask.,"2,938","3,052",-3.7,"1,501","1,294",1.79,"1,643.80"
La Loche,Small population centre,Sask.,"2,009","1,913r",5,604,555,1.55,"1,292.10"
La Ronge,Small population centre,Sask.,"5,317","5,709r",-6.9,"1,797","1,630",8.76,606.8
Langham,Small population centre,Sask.,"1,349","1,319",2.3,525,494,0.88,"1,530.50"
Lanigan,Small population centre,Sask.,"1,277","1,245r",2.6,587,521,1.83,696.7
Lumsden,Small population centre,Sask.,"1,800","1,824",-1.3,732,700,4.09,440.6
Macklin,Small population centre,Sask.,"1,098","1,193",-8,485,442,0.76,"1,435.90"
Maple Creek,Small population centre,Sask.,"2,151","2,074",3.7,"1,075",980,1.57,"1,372.40"
Martensville,Small population centre,Sask.,"10,499","9,645r",8.9,"3,789","3,631",5.48,"1,915.80"
Meadow Lake,Small population centre,Sask.,"5,141","5,266",-2.4,"2,042","1,857",3.28,"1,567.80"
Melfort,Small population centre,Sask.,"5,718","5,778",-1,"2,702","2,494",4.33,"1,319.10"
Melville,Small population centre,Sask.,"4,075","4,127",-1.3,"2,152","1,948",2.84,"1,434.50"
Moose Jaw,Medium population centre,Sask.,"32,813","32,993r",-0.5,"15,814","14,417",22.14,"1,481.80"
Moosomin,Small population centre,Sask.,"2,478","2,548",-2.7,"1,159","1,056",1.93,"1,284.80"
Nipawin,Small population centre,Sask.,"4,147","4,016r",3.3,"1,880","1,737",3.37,"1,231.60"
North Battleford,Small population centre,Sask.,"13,649","14,135r",-3.4,"6,273","5,625",8.67,"1,575.20"
Osler,Small population centre,Sask.,"1,251","1,237",1.1,429,420,1.62,771.7
Outlook,Small population centre,Sask.,"2,112","2,065r",2.3,984,931,2.82,749.3
Oxbow,Small population centre,Sask.,"1,051","1,126",-6.7,475,409,1.19,883.4
Pelican Narrows,Small population centre,Sask.,"2,133","2,281r",-6.5,432,405,2.73,781.9
Pilot Butte,Small population centre,Sask.,"2,364","1,871r",26.3,883,853,2.75,858.7
Prince Albert,Medium population centre,Sask.,"36,768","35,102",4.7,"15,188","14,017",21.37,"1,720.20"
Regina,Large urban population centre,Sask.,"224,996","214,664r",4.8,"98,426","91,485",105.61,"2,130.40"
Regina Beach,Small population centre,Sask.,"1,790","1,629",9.9,"1,272",836,2.72,657.2
Rosetown,Small population centre,Sask.,"2,384","2,331",2.3,"1,171","1,064",1.89,"1,260.90"
Rosthern,Small population centre,Sask.,"1,475","1,488",-0.9,628,587,1.68,877.1
Sandy Bay - Wapaskokimaw 202,Small population centre,Sask.,"1,104",910r,21.3,288,233,2.68,412
Saskatoon,Large urban population centre,Sask.,"264,637","245,904r",7.6,"115,029","106,542",134.63,"1,965.60"
Shaunavon,Small population centre,Sask.,"1,769","1,699",4.1,918,794,1.73,"1,019.80"
Shellbrook,Small population centre,Sask.,"1,330","1,277",4.2,626,594,1.41,944.3
Stanley Mission 157,Small population centre,Sask.,"1,987","1,935r",2.7,559,523,2.69,739.7
Swift Current,Small population centre,Sask.,"16,304","16,264r",0.2,"7,682","7,038",14.69,"1,110.20"
Tisdale,Small population centre,Sask.,"2,878","3,136",-8.2,"1,569","1,338",2.8,"1,026.20"
Unity,Small population centre,Sask.,"2,406","2,475",-2.8,"1,110","1,014",2.42,992.3
Wadena,Small population centre,Sask.,"1,127","1,139r",-1.1,598,540,1.48,763.7
Waldheim,Small population centre,Sask.,"1,113","1,080r",3.1,405,387,0.99,"1,127.50"
Warman,Small population centre,Sask.,"12,362","10,961",12.8,"4,292","4,144",7.65,"1,616.00"
Watrous,Small population centre,Sask.,"1,817","1,865",-2.6,898,841,1.96,927.7
Weyburn,Small population centre,Sask.,"10,883","10,755r",1.2,"5,085","4,604",8.51,"1,279.00"
White City,Small population centre,Sask.,"4,713","4,264r",10.5,"1,547","1,520",6.32,745.3
Wilkie,Small population centre,Sask.,"1,124","1,149",-2.2,556,497,1.51,743.3
Wynyard,Small population centre,Sask.,"1,667","1,732",-3.8,888,787,1.66,"1,005.30"
Yorkton,Small population centre,Sask.,"15,969","16,046r",-0.5,"7,398","6,845",10.68,"1,495.50"
Alberta 2,Province,Alta.,"4,262,635","4,067,175",4.8,"1,772,670","1,633,220","634,658.27",6.7
Airdrie,Medium population centre,Alta.,"73,578","61,082",20.5,"26,853","26,124",33.03,"2,227.30"
Alberta Beach - Val Quentin,Small population centre,Alta.,"1,103","1,327r",-16.9,"1,051",528,1.69,651.2
Athabasca,Small population centre,Alta.,"1,181","1,250",-5.5,602,521,2.03,581.1
Banff,Small population centre,Alta.,"8,305","7,851",5.8,"3,287","2,930",4.08,"2,033.80"
Barrhead,Small population centre,Alta.,"4,055","4,387",-7.6,"1,874","1,731",4.73,857.4
Bassano,Small population centre,Alta.,"1,186","1,201r",-1.2,583,531,1.33,894.9
Beaumont,Small population centre,Alta.,"20,779","17,396",19.4,"7,124","6,907",10.4,"1,998.20"
Beaverlodge,Small population centre,Alta.,"2,251","2,440r",-7.7,"1,010",914,3.33,676.4
Black Diamond,Small population centre,Alta.,"2,574","2,552",0.9,"1,174","1,120",2.15,"1,199.00"
Blackfalds,Small population centre,Alta.,"10,315","9,161r",12.6,"3,895","3,727",8.93,"1,155.40"
Blairmore,Small population centre,Alta.,"1,522","1,545",-1.5,896,731,2.04,747.7
Bon Accord,Small population centre,Alta.,"1,451","1,529",-5.1,585,550,2.13,682.1
Bonnyville,Small population centre,Alta.,"6,359","5,858r",8.6,"2,964","2,518",6.4,994
Bow Island,Small population centre,Alta.,"1,829","1,773",3.2,655,609,1.3,"1,402.40"
Bowden,Small population centre,Alta.,"1,275","1,240",2.8,621,583,2.82,452.9
Brooks,Small population centre,Alta.,"14,904","14,436",3.2,"5,483","5,134",12.78,"1,166.20"
Calgary,Large urban population centre,Alta.,"1,305,550","1,240,413r",5.3,"530,846","502,138",621.72,"2,099.90"
Calmar,Small population centre,Alta.,"1,883","1,986r",-5.2,803,766,1.33,"1,418.30"
Camrose,Small population centre,Alta.,"18,454","18,520",-0.4,"8,604","8,003",17.1,"1,079.30"
Canmore,Small population centre,Alta.,"13,268","12,021r",10.4,"7,199","5,514",12.96,"1,023.70"
Cardiff,Small population centre,Alta.,"1,033","1,167r",-11.5,395,379,0.98,"1,056.20"
Cardston,Small population centre,Alta.,"3,519","3,389r",3.8,"1,268","1,197",3.88,907.3
Carriage Lane Estates,Small population centre,Alta.,"1,094","1,008r",8.5,336,321,1.34,814.7
Carstairs,Small population centre,Alta.,"3,660","3,080",18.8,"1,405","1,366",4.76,769.6
Chestermere,Small population centre,Alta.,"21,425","19,477r",10,"6,654","6,483",8.99,"2,382.50"
Clairmont,Small population centre,Alta.,"2,808","2,411r",16.5,"1,133","1,041",4.16,675.1
Claresholm,Small population centre,Alta.,"3,434","3,424",0.3,"1,641","1,532",2.68,"1,279.60"
Coaldale,Small population centre,Alta.,"8,592","8,153",5.4,"3,272","3,181",5.84,"1,470.90"
Coalhurst,Small population centre,Alta.,"2,818","2,623",7.4,"1,038","1,008",1.76,"1,598.60"
Cochrane,Medium population centre,Alta.,"31,638","25,501r",24.1,"12,341","11,882",23.71,"1,334.60"
Cold Lake,Small population centre,Alta.,"7,201","6,795r",6,"3,022","2,808",5.71,"1,262.10"
Coleman,Small population centre,Alta.,"1,441","1,475",-2.3,907,722,1.99,722.8
Crossfield,Small population centre,Alta.,"3,579","2,973",20.4,"1,375","1,320",3.99,895.9
Devon,Small population centre,Alta.,"6,545","6,578",-0.5,"2,588","2,496",14.26,459.1
Didsbury,Small population centre,Alta.,"5,024","5,206r",-3.5,"2,138","2,028",5.43,925
Drayton Valley,Small population centre,Alta.,"6,970","6,867",1.5,"3,105","2,762",7.22,965.6
Drumheller,Small population centre,Alta.,"6,497","6,439",0.9,"3,096","2,804",9.48,685.2
Edmonton,Large urban population centre,Alta.,"1,151,635","1,070,998r",7.5,"484,165","449,923",627.2,"1,836.20"
Edson,Small population centre,Alta.,"8,166","8,148",0.2,"3,684","3,306",10.7,762.9
Elk Point,Small population centre,Alta.,"1,394","1,437",-3,677,586,2.26,617
Fairview,Small population centre,Alta.,"2,427","2,598",-6.6,"1,183","1,051",2.26,"1,072.30"
Fort Macleod,Small population centre,Alta.,"3,038","2,718r",11.8,"1,356","1,261",2.28,"1,330.40"
Fort McMurray,Medium population centre,Alta.,"68,002","67,123r",1.3,"28,670","24,505",52.17,"1,303.50"
Fort Saskatchewan,Small population centre,Alta.,"26,831","23,944r",12.1,"10,779","10,306",21.85,"1,228.10"
Fox Creek,Small population centre,Alta.,"1,426","1,730r",-17.6,834,574,1.36,"1,048.20"
Gibbons,Small population centre,Alta.,"2,989","2,973r",0.5,"1,187","1,108",4.78,625.8
